127.0.0.1 - - [20/Feb/2017:15:58:37 +0530] "GET / HTTP/1.1" 404 951
0:0:0:0:0:0:0:1 - - [20/Feb/2017:15:58:40 +0530] "GET /Integrated_data_about_bike_showroom/ HTTP/1.1" 200 545
0:0:0:0:0:0:0:1 - - [20/Feb/2017:15:58:40 +0530] "GET /Integrated_data_about_bike_showroom/styles.css HTTP/1.1" 200 25874
0:0:0:0:0:0:0:1 - - [20/Feb/2017:15:58:40 +0530] "GET /Integrated_data_about_bike_showroom/Header.html HTTP/1.1" 200 421
0:0:0:0:0:0:0:1 - - [20/Feb/2017:15:58:40 +0530] "GET /Integrated_data_about_bike_showroom/Images/bike4.jpg HTTP/1.1" 200 48702
0:0:0:0:0:0:0:1 - - [20/Feb/2017:15:58:43 +0530] "GET /Integrated_data_about_bike_showroom/Login.jsp HTTP/1.1" 200 955
0:0:0:0:0:0:0:1 - - [20/Feb/2017:16:03:51 +0530] "POST /Integrated_data_about_bike_showroom/Validate.jsp HTTP/1.1" 200 1062
0:0:0:0:0:0:0:1 - - [20/Feb/2017:16:04:30 +0530] "POST /Integrated_data_about_bike_showroom/Validate.jsp HTTP/1.1" 200 479
0:0:0:0:0:0:0:1 - - [20/Feb/2017:16:04:30 +0530] "GET /Integrated_data_about_bike_showroom/Report.jsp HTTP/1.1" 200 988
0:0:0:0:0:0:0:1 - - [20/Feb/2017:16:04:30 +0530] "GET /Integrated_data_about_bike_showroom/coolfunctions.js HTTP/1.1" 200 31223
0:0:0:0:0:0:0:1 - - [20/Feb/2017:16:04:30 +0530] "GET /Integrated_data_about_bike_showroom/coolmenus.js HTTP/1.1" 200 21655
0:0:0:0:0:0:0:1 - - [20/Feb/2017:16:04:30 +0530] "GET /Integrated_data_about_bike_showroom/Images/Home2.jpg HTTP/1.1" 200 11306
0:0:0:0:0:0:0:1 - - [20/Feb/2017:16:04:30 +0530] "GET /Integrated_data_about_bike_showroom/Images/Home1.jpg HTTP/1.1" 200 11306
0:0:0:0:0:0:0:1 - - [20/Feb/2017:16:04:30 +0530] "GET /Integrated_data_about_bike_showroom/Images/Employees01.jpg HTTP/1.1" 200 11306
0:0:0:0:0:0:0:1 - - [20/Feb/2017:16:04:30 +0530] "GET /Integrated_data_about_bike_showroom/Images/Employees02.jpg HTTP/1.1" 200 11306
0:0:0:0:0:0:0:1 - - [20/Feb/2017:16:04:30 +0530] "GET /Integrated_data_about_bike_showroom/Images/General02.jpg HTTP/1.1" 200 14334
0:0:0:0:0:0:0:1 - - [20/Feb/2017:16:04:30 +0530] "GET /Integrated_data_about_bike_showroom/Images/General01.jpg HTTP/1.1" 200 14334
0:0:0:0:0:0:0:1 - - [20/Feb/2017:16:04:30 +0530] "GET /Integrated_data_about_bike_showroom/Images/AddEmp001.jpg HTTP/1.1" 200 11454
0:0:0:0:0:0:0:1 - - [20/Feb/2017:16:04:30 +0530] "GET /Integrated_data_about_bike_showroom/Images/RemEmp001.jpg HTTP/1.1" 200 11454
0:0:0:0:0:0:0:1 - - [20/Feb/2017:16:04:30 +0530] "GET /Integrated_data_about_bike_showroom/Images/AddEmp002.jpg HTTP/1.1" 200 11454
